"Community","Family","CommunityESVID","RelativeAbundance"
"C1R2","Enterobacteriaceae","Citrobacter",0.41096202
"C1R2","Enterobacteriaceae","Yersinia",0.076415738
"C1R2","Pseudomonadaceae","Pseudomonas.2",0.452808733
"C1R2","Pseudomonadaceae","Pseudomonas",0.026381624
"C1R4","Pseudomonadaceae","Pseudomonas",0.125312713
"C1R4","Enterobacteriaceae","Enterobacteriaceae",0.843302252
"C1R4","Enterobacteriaceae","Citrobacter",0.025471913
"C1R6","Pseudomonadaceae","Pseudomonas.9",0.005230839
"C1R6","Enterobacteriaceae","Enterobacteriaceae",0.504889698
"C1R6","Pseudomonadaceae","Pseudomonas.2",0.403456902
"C1R6","Enterobacteriaceae","Yersinia",0.008187401
"C1R6","Enterobacteriaceae","Citrobacter",0.057084376
"C1R7","Enterobacteriaceae","Enterobacteriaceae",0.414373436
"C1R7","Enterobacteriaceae","Yersinia",0.373209006
"C1R7","Enterobacteriaceae","Citrobacter",0.067091199
"C1R7","Pseudomonadaceae","Pseudomonas",0.092563111
"C2R4","Enterobacteriaceae","Enterobacteriaceae",0.256083693
"C2R4","Enterobacteriaceae","Raoultella",0.192176484
"C2R4","Enterobacteriaceae","Citrobacter",0.076643166
"C2R4","Pseudomonadaceae","Pseudomonas.3",0.446213327
"C2R6","Enterobacteriaceae","Enterobacteriaceae",0.188765067
"C2R6","Enterobacteriaceae","Raoultella",0.270411644
"C2R6","Enterobacteriaceae","Citrobacter",0.115078463
"C2R8","Enterobacteriaceae","Raoultella",0.304753241
"C2R8","Enterobacteriaceae","Citrobacter",0.180350239
"C2R8","Pseudomonadaceae","Pseudomonas.2",0.403002047
"C4R1","Pseudomonadaceae","Pseudomonas.4",0.279963612
"C4R1","Enterobacteriaceae","Klebsiella",0.56538549
"C7R1","Enterobacteriaceae","Klebsiella",0.804412099
"C7R1","Pseudomonadaceae","Pseudomonas.1",0.114851035
"C8R2","Enterobacteriaceae","Klebsiella",0.972936093
"C8R4","Pseudomonadaceae","Pseudomonas.10",0.217875824
"C8R4","Enterobacteriaceae","Klebsiella",0.742779168
"C8R5","Enterobacteriaceae","Enterobacteriaceae",0.272231067
"C8R5","Pseudomonadaceae","Pseudomonas",0.3625199
"C8R5","Enterobacteriaceae","Klebsiella",0.331134865
"C10R2","Pseudomonadaceae","Pseudomonas",0.111667046
"C10R2","Enterobacteriaceae","Enterobacteriaceae",0.77029793
"C11R1","Enterobacteriaceae","Salmonella",0.133045258
"C11R1","Pseudomonadaceae","Pseudomonas.4",0.334773709
"C11R1","Moraxellaceae","Acinetobacter.2",0.000454856
"C11R1","Enterobacteriaceae","Enterobacteriaceae",0.004548556
"C11R1","Enterobacteriaceae","Raoultella",0.367978167
"C11R1","Comamonadaceae","Delftia",0.031385035
"C11R1","Alcaligenaceae","Bordetella.1",0.016602229
"C11R2","Enterobacteriaceae","Enterobacteriaceae",0.034569024
"C11R2","Aeromonadaceae","Aeromonas",0.262906527
"C11R2","Enterobacteriaceae","Salmonella",0.246986582
"C11R2","Enterobacteriaceae","Salmonella.1",0.015919945
"C11R2","Pseudomonadaceae","Pseudomonas.3",0.052080964
"C11R2","Moraxellaceae","Acinetobacter.2",0.348419377
"C11R5","Pseudomonadaceae","Pseudomonas.2",0.180805094
"C11R5","Enterobacteriaceae","Raoultella",0.6415738
"C11R6","Enterobacteriaceae","Raoultella",0.369570161
"C11R6","Enterobacteriaceae","Enterobacteriaceae",0.288833295
