"Genus","Abundance","type","Sample"
"Aeromonas",0.188805552,"16S","16S_1"
"Klebsiella",0.211481845,"16S","16S_1"
"Pseudomonas",0.348871443,"16S","16S_1"
"Raoultella",0.245023132,"16S","16S_1"
"Klebsiella",0.2169692,"16S","16S_2"
"Raoultella",0.2457117,"16S","16S_2"
"Aeromonas",0.1639357,"16S","16S_2"
"Pseudomonas",0.3690855,"16S","16S_2"
"Raoultella",0.2294136,"16S","16S_3"
"Pseudomonas",0.4092311,"16S","16S_3"
"Klebsiella",0.1933284,"16S","16S_3"
"Aeromonas",0.1664534,"16S","16S_3"
"Aeromonas",0.156618,"16S","16S_4"
"Pseudomonas",0.3488607,"16S","16S_4"
"Raoultella",0.2645279,"16S","16S_4"
"Klebsiella",0.2248419,"16S","16S_4"
"Klebsiella",0.2160789,"16S","16S_5"
"Raoultella",0.2500254,"16S","16S_5"
"Aeromonas",0.1722397,"16S","16S_5"
"Pseudomonas",0.3551851,"16S","16S_5"
"Klebsiella",0.2,"known composition","known composition"
"Pseudomonas",0.2,"known composition","known composition"
"Raoultella",0.2,"known composition","known composition"
"Pseudomonas",0.2,"known composition","known composition"
"Aeromonas",0.2,"known composition","known composition"
