"time_hours","CommunityReplicate","mean.ratioRF","sd.ratioRF"
0,"C10R7",0.051758757,0.006317056
0,"C1R8",0.011678884,0.001967471
0,"C2R3",0.001119043,0.000645284
0,"C2R8",0.004381984,0.001258539
0,"C4R4",0.035918043,0.004201057
0,"C4R6",0.0320507,0.002810026
0,"C4R7",0.012306469,0.001588391
0,"C5R3",0.004639685,0.000829826
0,"C6R8",0.040742308,0.003348263
10,"C10R7",0.024639044,0.002042569
10,"C1R8",0,0
10,"C2R3",0,0
10,"C2R8",0,0
10,"C4R4",0.027985304,0.005406388
10,"C4R6",0.024354399,0.002995767
10,"C4R7",0.000805223,0.000477642
10,"C5R3",0.004552326,0.000835696
10,"C6R8",0.001969721,0.001134203
21,"C10R7",0.033999175,0.005980676
21,"C1R8",0.001847385,0.001083187
21,"C2R3",0.003026085,0.001350312
21,"C2R8",0.012028229,0.003840223
21,"C4R4",0.010254186,0.005319822
21,"C4R6",0.040555721,0.007021823
21,"C4R7",0.003233499,0.001504727
21,"C5R3",0.006405714,0.001777079
21,"C6R8",0.004221286,0.003109532
48,"C10R7",0.082249052,0.011431957
48,"C1R8",0.014043782,0.001877976
48,"C2R3",0.005159792,0.003057542
48,"C2R8",0.008079362,0.001633328
48,"C4R4",0.094896962,0.006125088
48,"C4R6",0.039595211,0.008763006
48,"C4R7",0.046435103,0.008220321
48,"C5R3",0.025472941,0.005400207
48,"C6R8",0.121359795,0.007689623
