"CommunityReplicate","time_hours","variable","mean","std"
"C10R7",0,"fermenter",1156666.66675,128178.116885
"C10R7",0,"respirer",60000.000003,8164.965811
"C10R7",10,"fermenter",283095238.1,13409002.971514
"C10R7",10,"respirer",6952380.952167,1348216.256579
"C10R7",21,"fermenter",499500000,41741266.551619
"C10R7",21,"respirer",1.7e+07,5773502.691896
"C10R7",48,"fermenter",7.07e+08,19425069.712445
"C10R7",48,"respirer",5.8e+07,18036999.011292
"C1R8",0,"fermenter",1884375,62761.951053
"C1R8",0,"respirer",21875,8750
"C1R8",10,"fermenter",168238095.233333,8908453.536652
"C1R8",10,"respirer",0,0
"C1R8",21,"fermenter",8.16e+08,39157800.414902
"C1R8",21,"respirer",1500000,1914854.215513
"C1R8",48,"fermenter",2501250000,75401702.014389
"C1R8",48,"respirer",3.5e+07,4564354.645876
"C2R3",0,"fermenter",2184166.66675,48866.787765
"C2R3",0,"respirer",2500,1666.666667
"C2R3",10,"fermenter",391047619.066667,33143267.629231
"C2R3",10,"respirer",0,0
"C2R3",21,"fermenter",822500000,32264531.609803
"C2R3",21,"respirer",2500000,3e+06
"C2R3",48,"fermenter",948333333.425,45010287.023779
"C2R3",48,"respirer",4999999.99925,6382847.383621
"C2R8",0,"fermenter",2264166.66675,150514.549396
"C2R8",0,"respirer",9999.999999,2721.655268
"C2R8",10,"fermenter",170809523.816667,13123484.691152
"C2R8",10,"respirer",0,0
"C2R8",21,"fermenter",4.56e+08,15663120.165961
"C2R8",21,"respirer",5500000,1e+06
"C2R8",48,"fermenter",1858750000,116913429.510899
"C2R8",48,"respirer",1.5e+07,7905694.150421
"C4R4",0,"fermenter",1770000,281602.556807
"C4R4",0,"respirer",63333.333333,17736.497211
"C4R4",10,"fermenter",49476190.475,5018875.935622
"C4R4",10,"respirer",1380952.381083,796249.712954
"C4R4",21,"fermenter",193500000,12041594.578792
"C4R4",21,"respirer",2e+06,1632993.161855
"C4R4",48,"fermenter",1.71e+09,48347699.014534
"C4R4",48,"respirer",161875000,6574889.099191
"C4R6",0,"fermenter",2576875,97411.819098
"C4R6",0,"respirer",82500,17440.374614
"C4R6",10,"fermenter",129714285.716667,7118816.683141
"C4R6",10,"respirer",3142857.142667,903507.902797
"C4R6",21,"fermenter",455500000,30523215.208537
"C4R6",21,"respirer",18500000,1914854.215513
"C4R6",48,"fermenter",5.53e+08,83992063.117099
"C4R6",48,"respirer",2.2e+07,26229754.097208
"C4R7",0,"fermenter",3002500,580782.518102
"C4R7",0,"respirer",36875,21638.603621
"C4R7",10,"fermenter",350190476.2,27378426.379052
"C4R7",10,"respirer",285714.2857,285714.2857
"C4R7",21,"fermenter",760500000,51881274.720911
"C4R7",21,"respirer",2500000,1e+06
"C4R7",48,"fermenter",1180000000.25,89938250.273297
"C4R7",48,"respirer",54999999.9975,3333333.335
"C5R3",0,"fermenter",4296250,124974.997499
"C5R3",0,"respirer",20000,4564.354646
"C5R3",10,"fermenter",625238095.233333,42117748.735793
"C5R3",10,"respirer",2857142.857333,1245399.698253
"C5R3",21,"fermenter",1007500000,33040379.335998
"C5R3",21,"respirer",6500000,4434711.565217
"C5R3",48,"fermenter",1.575e+09,189453404.927224
"C5R3",48,"respirer",4e+07,5443310.54224
"C6R6",0,"fermenter",1299375,36077.174224
"C6R6",0,"respirer",13125,4269.562819
"C6R6",10,"fermenter",68047619.046667,1932887.587681
"C6R6",10,"respirer",476190.476167,390360.02916
"C6R6",21,"fermenter",168500000,20680103.158995
"C6R6",21,"respirer",5500000,3785938.8972
"C6R6",48,"fermenter",1156250000,20866640.042582
"C6R6",48,"respirer",1e+07,6454972.243679
"C6R8",0,"fermenter",2351250,60225.271551
"C6R8",0,"respirer",95625,19830.006724
"C6R8",10,"fermenter",106642857.135,6608075.871884
"C6R8",10,"respirer",214285.714275,273550.602202
"C6R8",21,"fermenter",233500000,33321664.624285
"C6R8",21,"respirer",1e+06,1154700.538379
"C6R8",48,"fermenter",2.005e+09,81047825.387237
"C6R8",48,"respirer",242500000,31917863.337009
