"InocRep","Enterobacteriaceae","Pseudomonadaceae","ratioPE"
"C10R1",0.35637935,0.556970662,1.56285896475203
"C10R2",0.77029793,0.196042757,0.254502510476693
"C10R3",0.846713668,0.127359563,0.150416330588867
"C10R4",0.827837162,0.15760746,0.190384615760944
"C10R5",0.687286786,0.261769388,0.380873593574371
"C10R6",0.915396861,0.084148283,0.091925465975571
"C10R7",0.666818286,0.312485786,0.46862210074425
"C11R1",0.587673413,0.342051398,0.582043343179114
"C11R2",0.298385262,0.052763247,0.176829266453515
"C11R3",0.768705936,0.178303389,0.231952663105232
"C11R4",0.734364339,0.238344325,0.324558686121059
"C11R5",0.766659086,0.186263361,0.242954612292953
"C11R6",0.706163292,0.23174892,0.32818035520317
"C11R7",0.884466682,0.091880827,0.103882745240595
"C12R1",0.846713668,0.112121902,0.132420092219416
"C12R2",0.814418922,0.099158517,0.121753699872902
"C12R3",0.386627247,0.611780759,1.58235293489287
"C12R4",0.791448715,0.179440527,0.226724137141343
"C12R5",0.87741642,0.097566523,0.111197512123149
"C12R6",0.852626791,0.147373209,0.172846092282831
"C12R7",0.821241755,0.178303389,0.217114373343085
"C1R1",0.550147828,0.447350467,0.813145929570043
"C1R2",0.499204003,0.479190357,0.959908883182573
"C1R3",0.762565386,0.218785535,0.286907246272518
"C1R4",0.869683876,0.129633842,0.149058578153977
"C1R5",0.482601774,0.517170799,1.07163053859806
"C1R6",0.570161475,0.429611098,0.753490224852529
"C1R7",0.86195133,0.112121901,0.130079155397324
"C1R8",0.569934045,0.422105981,0.740622506591969
"C2R1",0.489879463,0.396406641,0.809192201225223
"C2R2",0.837843985,0.137593814,0.164223669875723
"C2R3",0.692290198,0.301569252,0.435611038364001
"C2R4",0.524903343,0.446213327,0.850086654906292
"C2R5",0.770070503,0.229474641,0.29799172946636
"C2R6",0.574255174,0.400272914,0.697029704080646
"C2R7",0.755287696,0.226972937,0.300511895271229
"C2R8",0.544689561,0.405503753,0.744467641816987
"C3R1",0.852854219,0.126904708,0.148800000249515
"C3R2",0.876506709,0.123493291,0.140892579294564
"C3R3",0.907436889,0.092563111,0.102005012273641
"C3R4",0.806686377,0.193086196,0.239357204367417
"C3R5",0.94132363,0.05867637,0.0623338967916911
"C3R6",0.891289516,0.108710485,0.121969890869893
"C3R7",0.909483739,0.090516261,0.0995248811149992
"C3R8",0.848305663,0.151694337,0.178820375268437
"C4R1",0.566750057,0.422560838,0.745585876491584
"C4R2",0.623834433,0.376165567,0.602989426523047
"C4R3",0.675460541,0.324539459,0.480471381081016
"C4R4",0.538549011,0.448942461,0.833614864813112
"C4R5",0.595860814,0.404139186,0.678244275348505
"C4R6",0.552876961,0.445531044,0.805841218621515
"C4R7",0.554014101,0.435979077,0.786945812774538
"C4R8",0.559472367,0.440527632,0.787398373868213
"C5R1",0.775756197,0.217875824,0.28085605354178
"C5R2",0.783033887,0.216966113,0.277083938003311
"C5R3",0.572890607,0.426654537,0.744739976160929
"C5R4",0.75278599,0.247214009,0.328398791003005
"C5R5",0.79918126,0.20081874,0.251280591839704
"C5R6",0.719354105,0.280645895,0.39013594702431
"C5R7",0.790084148,0.209915852,0.265687968213735
"C5R8",0.827382306,0.172617694,0.208631116169893
"C6R1",0.542187855,0.457812145,0.844379195841633
"C6R2",0.535592449,0.464407551,0.867091296501829
"C6R3",0.618148738,0.381851262,0.617733627080543
"C6R4",0.559699796,0.440072777,0.786265744860125
"C6R5",0.5376393,0.462360701,0.859983079733941
"C6R6",0.540595861,0.458039572,0.847286494485388
"C6R7",0.559927224,0.440072777,0.785946383989359
"C6R8",0.579486013,0.420513987,0.725667190521128
"C7R1",0.812144644,0.187855356,0.231307757045308
"C7R2",0.84443939,0.152604049,0.180716402866996
"C7R3",0.928587674,0.071412327,0.0769042374775265
"C7R4",0.801910394,0.198089607,0.247022121775865
"C7R5",0.913577439,0.086422561,0.0945979588710049
"C7R6",0.837389129,0.156470321,0.1868549705044
"C7R7",0.873095292,0.12667728,0.145089867235248
"C7R8",0.927677963,0.072322038,0.0779602845863872
"C8R1",0.879463271,0.120536729,0.137057149484984
"C8R2",0.975665226,0.023652491,0.0242424249319305
"C8R3",0.979531499,0.020241073,0.0206640348173224
"C8R4",0.777575621,0.22242438,0.286048551411567
"C8R5",0.603820788,0.396179213,0.656120525946517
"C8R6",0.709119856,0.290652718,0.409878126441858
"C8R7",0.86809188,0.131908119,0.151951794549674
"C8R8",0.799408688,0.200591313,0.250924609665989
"C9R1",0.674323402,0.325676598,0.482967960231047
"C9R2",0.856720491,0.129633842,0.151314043917271
"C9R3",0.932681374,0.066636343,0.0714459887991716
"C9R4",0.736866045,0.262679099,0.356481480972569
"C9R5",0.860359336,0.139640664,0.162305048782547
"C9R6",0.828292017,0.171707983,0.207303679711789
"C9R7",0.798271548,0.201501023,0.252421652136849
